#timestamp imgname x y z qx qy qz qw
1783519213.419816 pano/1783519213.419816.jpg 3323342.325227 5580844.702381 169.965778 -0.702004 0.008953 -0.034818 0.711265
1783519214.519120 pano/1783519214.519120.jpg 3323343.350691 5580844.978961 169.995872 -0.703665 -0.173702 0.113644 0.679536
1783519216.417938 pano/1783519216.417938.jpg 3323344.711805 5580846.375993 170.067514 -0.648654 -0.318793 0.207364 0.659257
1783519218.216819 pano/1783519218.216819.jpg 3323345.097608 5580847.889459 170.012871 -0.592544 -0.292810 0.272553 0.699191
1783519219.216197 pano/1783519219.216197.jpg 3323345.113211 5580849.033147 170.153367 -0.484956 -0.497041 0.467116 0.547330
1783519220.415450 pano/1783519220.415450.jpg 3323345.691908 5580850.041922 170.117503 -0.631328 -0.271228 0.233533 0.687985
1783519221.814579 pano/1783519221.814579.jpg 3323346.990059 5580851.093582 170.092386 -0.694890 -0.103466 0.132266 0.699234
1783519222.614082 pano/1783519222.614082.jpg 3323347.766919 5580851.432457 170.098793 -0.707502 -0.043724 0.063430 0.702500
1783519223.913273 pano/1783519223.913273.jpg 3323349.238797 5580851.678817 170.124277 -0.709085 0.034449 -0.053038 0.702281
1783519224.912653 pano/1783519224.912653.jpg 3323350.402107 5580852.094137 170.010441 -0.694177 -0.188903 0.130981 0.682113
1783519225.912029 pano/1783519225.912029.jpg 3323351.175872 5580853.006740 170.050922 -0.616806 -0.378121 0.342070 0.599635
1783519226.711532 pano/1783519226.711532.jpg 3323351.552520 5580853.756545 170.026182 -0.635114 -0.367182 0.313819 0.602765
1783519228.010724 pano/1783519228.010724.jpg 3323352.239975 5580855.102989 169.986983 -0.628156 -0.361031 0.335180 0.602272
1783519229.309916 pano/1783519229.309916.jpg 3323352.853873 5580856.515903 169.888441 -0.594230 -0.307591 0.353473 0.653709
1783519230.209364 pano/1783519230.209364.jpg 3323353.268208 5580857.405110 169.888727 -0.644147 -0.320904 0.283180 0.633959
1783519230.908920 pano/1783519230.908920.jpg 3323353.779932 5580857.822356 169.885887 -0.675314 -0.167499 0.161511 0.699864
1783519232.407987 pano/1783519232.407987.jpg 3323355.149869 5580858.633884 169.860060 -0.689660 -0.099888 0.082036 0.712503
